z,theta
137.2855,0.0982119510577
137.2905,0.0982119509327
137.2955,0.0982119508099
137.3005,0.0982119506891
137.3055,0.0982119505703
137.3105,0.0982119504534
137.3155,0.0982119503385
137.3205,0.0982119502254
137.3255,0.0982119501142
137.3305,0.0982119500048
137.3355,0.0982119498971
137.3405,0.0982119497912
137.3455,0.098211949687
137.3505,0.0982119495845
137.3555,0.0982119494835
137.3605,0.0982119493842
137.3655,0.0982119492865
137.3705,0.0982119491903
137.3755,0.0982119490956
137.3805,0.0982119490024
137.3855,0.0982119489106
137.3905,0.0982119488202
137.3955,0.0982119487313
137.4005,0.0982119486437
137.4055,0.0982119485575
137.4105,0.0982119484726
137.4155,0.0982119483889
137.4205,0.0982119483066
137.4255,0.0982119482255
137.4305,0.0982119481456
137.4355,0.0982119480669
137.4405,0.0982119479894
137.4455,0.0982119479131
137.4505,0.0982119478378
137.4555,0.0982119477638
137.4605,0.0982119476908
137.4655,0.0982119476189
137.4705,0.098211947548
137.4755,0.0982119474782
137.4805,0.0982119474094
137.4855,0.0982119473416
137.4905,0.0982119472749
137.4955,0.0982119472091
137.5005,0.0982119471442
137.5055,0.0982119470803
137.5105,0.0982119470173
137.5155,0.0982119469553
137.5205,0.0982119468941
137.5255,0.0982119468338
137.5305,0.0982119467744
137.5355,0.0982119467159
137.5405,0.0982119466582
137.5455,0.0982119466013
137.5505,0.0982119465453
137.5555,0.0982119464901
137.5605,0.0982119464357
137.5655,0.098211946382
137.5705,0.0982119463292
137.5755,0.0982119462771
137.5805,0.0982119462258
137.5855,0.0982119461752
137.5905,0.0982119461253
137.5955,0.0982119460762
137.6005,0.0982119460278
137.6055,0.0982119459802
137.6105,0.0982119459332
137.6155,0.0982119458869
137.6205,0.0982119458413
137.6255,0.0982119457964
137.6305,0.0982119457521
137.6355,0.0982119457086
137.6405,0.0982119456657
137.6455,0.0982119456234
137.6505,0.0982119455818
137.6555,0.0982119455408
137.6605,0.0982119455004
137.6655,0.0982119454607
137.6705,0.0982119454216
137.6755,0.0982119453831
137.6805,0.0982119453452
137.6855,0.0982119453079
137.6905,0.0982119452712
137.6955,0.0982119452351
137.7005,0.0982119451996
137.7055,0.0982119451647
137.7105,0.0982119451304
137.7155,0.0982119450966
137.7205,0.0982119450634
137.7255,0.0982119450307
137.7305,0.0982119449987
137.7355,0.0982119449671
137.7405,0.0982119449362
137.7455,0.0982119449057
137.7505,0.0982119448758
137.7555,0.0982119448465
137.7605,0.0982119448177
137.7655,0.0982119447894
137.7705,0.0982119447617
137.7755,0.0982119447345
137.7805,0.0982119447078
137.7855,0.0982119446816
137.7905,0.098211944656
137.7955,0.0982119446308
137.8005,0.0982119446062
137.8055,0.0982119445821
137.8105,0.0982119445585
137.8155,0.0982119445354
137.8205,0.0982119445127
137.8255,0.0982119444906
137.8305,0.098211944469
137.8355,0.0982119444479
137.8405,0.0982119444272
137.8455,0.098211944407
137.8505,0.0982119443874
137.8555,0.0982119443682
137.8605,0.0982119443494
137.8655,0.0982119443312
137.8705,0.0982119443134
137.8755,0.0982119442961
137.8805,0.0982119442792
137.8855,0.0982119442628
137.8905,0.0982119442469
137.8955,0.0982119442314
137.9005,0.0982119442164
137.9055,0.0982119442019
137.9105,0.0982119441878
137.9155,0.0982119441741
137.9205,0.0982119441609
137.9255,0.0982119441481
137.9305,0.0982119441358
137.9355,0.0982119441239
137.9405,0.0982119441124
137.9455,0.0982119441014
137.9505,0.0982119440908
137.9555,0.0982119440806
137.9605,0.0982119440708
137.9655,0.0982119440615
137.9705,0.0982119440526
137.9755,0.098211944044
137.9805,0.0982119440359
137.9855,0.0982119440283
137.9905,0.098211944021
137.9955,0.0982119440141
138.0005,0.0982119440076
138.0055,0.0982119440015
138.0105,0.0982119439958
138.0155,0.0982119439905
138.0205,0.0982119439856
138.0255,0.098211943981
138.0305,0.0982119439769
138.0355,0.0982119439731
138.0405,0.0982119439697
138.0455,0.0982119439666
138.0505,0.098211943964
138.0555,0.0982119439616
138.0605,0.0982119439597
138.0655,0.0982119439581
138.0705,0.0982119439568
138.0755,0.0982119439559
138.0805,0.0982119439554
138.0855,0.0982119439552
138.0905,0.0982119439553
138.0955,0.0982119439557
138.1005,0.0982119439565
138.1055,0.0982119439576
138.1105,0.098211943959
138.1155,0.0982119439608
138.1205,0.0982119439628
138.1255,0.0982119439652
138.1305,0.0982119439679
